Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-34.51792,1.383183,247.2453,-20.13531,0.003252645,-46.56726,0.1822403,221.9406,0.009043392,62.49511,87.09566,25.28968,20.86408,33.69423,84.70651,43.12471,34.51339,7,1,0
-34.93293,1.383481,246.3127,-20.72348,0.01512739,-46.64529,0.1876852,222.014,359.9777,61.93036,88.12861,25.66226,21.18916,34.2293,85.60337,42.68607,34.19445,7,1,0
-35.35912,1.383656,245.3784,-21.30006,0.008887996,-46.72149,0.1899596,222.0707,359.9669,61.3904,89.1258,26.04346,21.52616,34.7925,86.54702,42.22193,33.87203,7,1,0
-35.79628,1.38356,244.4424,-21.86497,-0.004892986,-46.7962,0.1884527,222.1141,359.9754,60.85658,90.18021,26.43386,21.87466,35.38137,87.53328,41.74668,33.54023,7,1,0
-36.24434,1.38335,243.5048,-22.41841,-0.01063745,-46.86954,0.1854421,222.1467,359.9941,60.32326,91.21745,26.82361,22.22836,35.98986,88.54568,41.25893,33.19881,7,1,0
-36.70327,1.383266,242.5658,-22.9606,-0.004321594,-46.94154,0.1835103,222.1706,0.01176178,59.78621,92.27569,27.2155,22.58758,36.61605,89.56347,40.7519,32.84753,7,1,0
-37.17297,1.383368,241.6254,-23.49171,0.005036681,-47.01226,0.1834991,222.1873,0.02101784,59.24228,93.4049,27.61792,22.95792,37.26432,90.56921,40.22675,32.48632,7,1,0
-37.65323,1.383515,240.6838,-24.01184,0.007351745,-47.08185,0.1845174,222.1983,0.02013361,58.68909,94.53984,28.03098,23.33909,37.93354,91.55495,39.68739,32.11811,7,1,0
-38.14378,1.383549,239.7409,-24.521,0.001782284,-47.15052,0.1853617,222.2046,0.01234295,58.12488,95.75446,28.45463,23.73077,38.62257,92.52466,39.15049,31.74911,7,1,0
-38.6443,1.383461,238.7966,-25.01922,-0.004371011,-47.21851,0.1856036,222.2071,0.003016571,57.54841,97.02617,28.88095,24.13257,39.33029,93.49083,38.59895,31.37065,7,1,0
-39.15453,1.383362,237.851,-25.50657,-0.004903325,-47.28598,0.1855482,222.2066,-0.003306849,56.95862,98.33136,29.30653,24.54418,40.05576,94.46646,38.03362,30.98288,7,1,0
-39.67421,1.383352,236.9039,-25.98319,-0.0004612839,-47.35301,0.1855485,222.2039,-0.004695419,56.35477,99.76879,29.74222,24.95685,40.79818,95.45811,37.4552,30.58599,7,1,0
-40.20316,1.383422,235.9555,-26.44928,0.003477007,-47.41961,0.185573,222.1993,-0.001953998,55.73907,100,30.18792,25.37543,41.5569,96.4638,36.88244,30.18012,7,1,0
-40.74119,1.383485,235.0057,-26.90507,0.003126065,-47.48576,0.1854114,222.1932,0.002519219,55.11846,100,30.64352,25.80313,42.33145,97.47626,36.30093,29.7677,7,1,0
-41.28815,1.383482,234.0546,-27.35081,-0.0002097595,-47.55142,0.1850673,222.1859,0.006255979,54.48238,100,31.10186,26.23977,43.12141,98.48851,35.70786,29.35631,7,1,0
-41.84385,1.38343,233.1023,-27.78671,-0.002588143,-47.6166,0.1848131,222.1776,0.007828481,53.83066,100,31.55781,26.68517,43.92634,94.83231,35.10358,28.93638,7,1,0
-42.40812,1.383393,232.1487,-28.21298,-0.001872414,-47.68134,0.1848883,222.1685,0.007170289,53.16333,100,32.02313,27.13913,44.74584,83.10515,34.50291,28.50805,7,1,0
-42.98075,1.383401,231.1938,-28.62979,0.000480268,-47.74564,0.1852326,222.1587,0.005207479,52.48052,100,32.49763,27.60144,45.57951,71.26706,33.89892,28.07151,7,1,0
-43.56153,1.383438,230.2376,-29.03729,0.001856117,-47.80954,0.1855398,222.1484,0.003169611,51.78229,100,32.98109,28.06101,46.42688,69.34011,33.28489,27.62696,7,1,0
-44.15026,1.383459,229.2802,-29.43567,0.001059428,-47.87307,0.185564,222.1376,0.001960114,51.0688,100,33.46506,28.52743,47.2876,70.29939,32.66111,27.1772,7,1,0
-44.74676,1.383448,228.3214,-29.8251,-0.0005732608,-47.93621,0.1853397,222.1266,0.001873229,50.34031,100,33.94657,29.00157,48.16058,71.26001,32.04006,26.72937,7,1,0
-45.35086,1.383423,227.3615,-30.20578,-0.001266618,-47.99896,0.1851023,222.1153,0.002628229,49.59692,100,34.43638,29.48326,49.0409,72.22192,31.41937,26.27407,7,1,0
-45.9624,1.383412,226.4002,-30.57792,-0.0005520571,-48.06132,0.1850433,222.1038,0.003660447,48.83889,100,34.93433,29.97234,49.93375,73.18513,30.7898,25.81144,7,1,0
-46.58122,1.383423,225.4377,-30.94171,0.0005532253,-48.12326,0.1851594,222.0921,0.004439159,48.06643,100,35.44025,30.46865,50.83888,74.1496,30.15156,25.34162,7,1,0
-47.20716,1.38344,224.474,-31.29733,0.0008448792,-48.18477,0.1853003,222.0803,0.004691624,47.27985,100,35.94274,30.97029,51.75603,75.11535,29.51587,24.8648,7,1,0
-47.84007,1.383445,223.5091,-31.64496,0.0002439308,-48.24586,0.1853422,222.0684,0.004450125,46.48637,100,36.44457,31.46853,52.68492,76.08234,28.88272,24.38465,7,1,0
-48.47977,1.383435,222.543,-31.98475,-0.0005035746,-48.30653,0.1852845,222.0564,0.003963258,45.68232,100,36.95374,31.97351,53.62526,77.05056,28.24163,23.90658,7,1,0
-49.12611,1.383424,221.5757,-32.31689,-0.000547092,-48.36678,0.1852206,222.0443,0.003513911,44.86463,100,37.47009,32.48507,54.5768,78.02,27.59282,23.42197,7,1,0
-49.77895,1.383423,220.6071,-32.64153,-5.274653E-05,-48.4266,0.1852101,222.0321,0.003293649,44.03362,100,37.99342,33.00306,55.53933,78.9907,26.94713,22.93098,7,1,0
-50.43812,1.383431,219.6374,-32.95883,0.0004005349,-48.486,0.1852421,222.0199,0.003335671,43.18952,100,38.508,33.52729,56.51252,76.30603,26.30519,22.43374,7,1,0
-51.1035,1.383438,218.6665,-33.26896,0.0003494239,-48.54497,0.1852659,222.0077,0.003539117,42.33257,100,39.02525,34.05768,57.4962,77.27911,25.65615,21.9304,7,1,0
-51.77493,1.383437,217.6944,-33.57207,-3.019929E-05,-48.6035,0.1852571,221.9954,0.003771685,41.46303,100,39.54894,34.58892,58.49016,78.25339,25.0002,21.4261,7,1,0
-52.4523,1.383431,216.7211,-33.86832,-0.0002952754,-48.66158,0.1852312,221.9831,0.003925371,40.58118,100,40.07892,35.11901,59.49417,79.22888,24.34855,20.92342,7,1,0
-53.13545,1.383427,215.7468,-34.15787,-0.0002127385,-48.71921,0.1852217,221.9708,0.003952245,39.68723,100,40.61349,35.65481,60.508,80.20553,23.70097,20.41504,7,1,0
-53.82427,1.383428,214.7712,-34.44086,4.719734E-05,-48.7764,0.1852375,221.9585,0.003877541,38.78146,100,41.13599,36.19619,61.53145,81.18335,23.04704,19.9011,7,1,0
-54.51862,1.383432,213.7946,-34.71742,0.0001959157,-48.83313,0.1852596,221.9461,0.003762113,37.86407,100,41.66428,36.74305,62.56435,82.16235,22.38691,19.38171,7,1,0
-55.21837,1.383435,212.8168,-34.9877,0.0001369774,-48.88941,0.185267,221.9338,0.003668791,36.93534,100,42.19823,37.29521,63.60642,83.14247,21.73272,18.85703,7,1,0
-55.9234,1.383434,211.8379,-35.25184,-3.989577E-05,-48.94523,0.1852526,221.9214,0.003631258,35.99551,100,42.73765,37.85261,64.65759,84.12375,21.08229,18.33418,7,1,0
