Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-75.91213,1.387527,21.49722,0.3361332,0.008350483,-31.45895,0.1839012,179.2095,0.003694918,14.17815,16.68111,33.62501,48.09008,100,29.39546,21.0725,30.21793,0,1,0
-75.90513,1.387774,20.85233,0.3502876,0.01230571,-32.24268,0.1855229,179.1971,0.003837407,14.03482,16.3255,33.6181,48.21895,100,29.399,21.07957,30.23475,0,1,0
-75.89783,1.387835,20.19211,0.36447,0.003060526,-33.01071,0.1861049,179.1846,0.003863147,13.88733,15.96544,33.61091,48.21928,100,29.40296,21.08693,30.25198,0,1,0
-75.89026,1.38769,19.51685,0.3786786,-0.007228495,-33.76337,0.1855879,179.1721,0.003790043,13.73573,15.7276,33.60344,48.21919,100,29.4073,21.09457,30.26962,0,1,0
-75.8824,1.387528,18.82684,0.3929138,-0.008101646,-34.501,0.1849921,179.1597,0.003709069,13.5801,15.60398,33.59569,48.2187,100,29.41205,21.1025,30.28766,0,1,0
-75.87426,1.387513,18.12236,0.4071745,-0.000749141,-35.22389,0.1850312,179.1473,0.003688664,13.42048,15.47687,33.58765,48.21779,100,29.4172,21.11071,30.30613,0,1,0
-75.86582,1.387627,17.4037,0.4214578,0.005702759,-35.93232,0.1854658,179.1348,0.003717249,13.25697,15.34636,33.57933,48.21646,100,29.42277,21.11922,30.32502,0,1,0
-75.85711,1.387729,16.67117,0.4357594,0.005114136,-36.62656,0.185636,179.1224,0.003744352,13.08968,15.21259,33.57072,48.21473,100,29.42872,21.128,30.34432,0,1,0
-75.8481,1.387722,15.92503,0.4500762,-0.0003809083,-37.30689,0.1853077,179.11,0.003742461,12.91867,15.07563,33.56182,48.21255,100,29.43508,21.13708,30.36405,0,1,0.04640238
-75.83864,1.387637,15.16557,0.4644064,-0.004261371,-37.97361,0.1848817,179.1125,0.01277951,12.74395,14.93816,33.55234,48.1968,100,29.4495,21.14653,30.37628,0,1,0.3840821
-75.82755,1.387583,14.39307,0.4785697,-0.003091835,-38.62701,0.1848221,179.2352,0.09154077,12.56512,14.81847,33.54025,48.07481,100,29.52639,21.157,30.32531,0,1,0.3840821
-75.8159,1.387596,13.60776,0.4906999,0.0003045631,-39.26737,0.1847562,179.4542,0.1871476,12.3825,14.71314,33.52727,47.87078,100,29.65331,21.16781,30.22374,0,1,0.3840821
-75.80472,1.387639,12.80988,0.4961103,0.002065643,-39.895,0.1843143,179.7497,0.2542944,12.19644,14.61981,33.51505,47.60538,100,29.82042,21.17832,30.08208,0,1,0.3840821
-75.79459,1.387663,11.9997,0.4918176,0.001145529,-40.51014,0.1836665,180.1063,0.2729952,12.00728,14.51137,33.5047,47.29509,100,30.02049,21.18832,29.90934,0,1,0.3840821
-75.78561,1.38765,11.17746,0.4763152,-0.0006237876,-41.11296,0.1833685,180.5115,0.2491783,11.8153,14.40505,33.49694,46.95261,100,30.24866,21.19806,29.71329,0,1,0.5718488
-75.77683,1.387627,10.3434,0.4490211,-0.001136708,-41.70364,0.1834441,181.0162,0.2446796,11.62087,14.30946,33.49207,14.74652,100,30.53616,21.20932,29.47174,0,1,0.5718488
-75.76855,1.387618,9.497766,0.409068,-0.0004481995,-42.28227,0.1836761,181.6008,0.2562096,11.42446,14.22286,33.49162,14.4444,100,30.87611,21.22256,29.19728,0,1,0.5718488
-75.76125,1.387627,8.640793,0.3538337,0.0004196358,-42.84889,0.1837485,182.2496,0.274332,11.22645,14.16773,33.4971,14.1327,100,31.26313,21.23797,28.89977,0,1,0.6532976
-75.75515,1.387639,7.772719,0.281402,0.000573436,-43.40346,0.1833345,182.9759,0.3063437,11.02736,14.15604,33.51046,13.81025,100,31.70961,21.25643,28.57559,0,1,0.6532976
